datetime,open,high,low,close
2026-03-05 00:00,1.0847,1.0853,1.0839,1.0841
2026-03-05 01:00,1.0841,1.0850,1.0835,1.0849
2026-03-05 02:00,1.0849,1.0856,1.0840,1.0852
2026-03-05 03:00,1.0852,1.0861,1.0848,1.0858
2026-03-05 04:00,1.0858,1.0864,1.0850,1.0853
2026-03-05 05:00,1.0853,1.0860,1.0847,1.0856
2026-03-05 06:00,1.0856,1.0869,1.0854,1.0867
2026-03-05 07:00,1.0867,1.0875,1.0862,1.0871
2026-03-05 08:00,1.0871,1.0880,1.0865,1.0878
2026-03-05 09:00,1.0878,1.0886,1.0870,1.0883
2026-03-05 10:00,1.0883,1.0892,1.0876,1.0889
2026-03-05 11:00,1.0889,1.0895,1.0881,1.0884
2026-03-05 12:00,1.0884,1.0890,1.0877,1.0881
2026-03-05 13:00,1.0881,1.0889,1.0873,1.0886
2026-03-05 14:00,1.0886,1.0898,1.0882,1.0895
2026-03-05 15:00,1.0895,1.0904,1.0890,1.0899
2026-03-05 16:00,1.0899,1.0907,1.0892,1.0903
2026-03-05 17:00,1.0903,1.0912,1.0898,1.0909
2026-03-05 18:00,1.0909,1.0916,1.0902,1.0905
2026-03-05 19:00,1.0905,1.0913,1.0897,1.0900
2026-03-05 20:00,1.0900,1.0908,1.0894,1.0906
2026-03-05 21:00,1.0906,1.0915,1.0901,1.0912
2026-03-05 22:00,1.0912,1.0920,1.0906,1.0917
2026-03-05 23:00,1.0917,1.0928,1.0911,1.0924
2026-03-06 00:00,1.0924,1.0931,1.0916,1.0920
2026-03-06 01:00,1.0920,1.0927,1.0914,1.0919
2026-03-06 02:00,1.0919,1.0925,1.0910,1.0913
2026-03-06 03:00,1.0913,1.0920,1.0907,1.0916
2026-03-06 04:00,1.0916,1.0924,1.0911,1.0919
2026-03-06 05:00,1.0919,1.0928,1.0913,1.0925
2026-03-06 06:00,1.0925,1.0934,1.0920,1.0930
2026-03-06 07:00,1.0930,1.0939,1.0926,1.0936
2026-03-06 08:00,1.0936,1.0944,1.0931,1.0939
2026-03-06 09:00,1.0939,1.0948,1.0934,1.0945
2026-03-06 10:00,1.0945,1.0952,1.0940,1.0948
2026-03-06 11:00,1.0948,1.0956,1.0943,1.0951
2026-03-06 12:00,1.0951,1.0959,1.0946,1.0955
2026-03-06 13:00,1.0955,1.0964,1.0950,1.0961
2026-03-06 14:00,1.0961,1.0969,1.0954,1.0965
2026-03-06 15:00,1.0965,1.0973,1.0960,1.0969
2026-03-06 16:00,1.0969,1.0978,1.0964,1.0974
2026-03-06 17:00,1.0974,1.0986,1.0970,1.0980
2026-03-06 18:00,1.0980,1.0989,1.0975,1.0983
2026-03-06 19:00,1.0983,1.0991,1.0978,1.0987
