entry_index,exit_index,decision,score,entry,exit,lots,pnl,equity,vw_sentiment,author_count,evt_comp,novelty,tech_conf
13,24,BUY,0.27599999999999747,1.088625,1.09295,2.298850574702077,999.9999999954026,100999.9999999954,0.0,2,0.5999999999999943,0.04,0
25,37,BUY,0.006,1.091925,1.0962928571428572,2.299186991859326,1009.999999995356,102009.99999999076,0.0,2,0.0,0.04,0
45,54,BUY,0.006,1.0997249999999998,1.103792857142857,2.4923909249439786,1020.0999999949228,103030.09999998569,0.0,2,0.0,0.04,0
55,63,BUY,0.006,1.1038249999999998,1.1077642857142855,2.5989574774640105,1030.3009999946592,104060.40099998035,0.0,2,0.0,0.04,0
64,72,BUY,0.456,1.108125,1.1120857142857143,2.6108344336781384,1040.604009994582,105101.00500997494,0.0,2,18000.0,0.04,0
73,81,BUY,0.006,1.111325,1.1154785714285713,2.5152377267224524,1051.0100500947192,106152.01506006965,0.0,2,0.0,0.04,0
82,86,SELL,-0.03900000000000004,1.115875,1.1179464285714285,2.5935919909838367,-530.7600752977546,105621.25498477189,0.0,2,-0.10000000000000009,0.04,0
87,91,SELL,-0.03900000000000004,1.117875,1.1199357142857143,2.59420626277111,-528.1062749212653,105093.14870985062,0.0,2,-0.10000000000000009,0.04,0
92,92,BUY,0.006,1.120325,1.121875,2.5543473644630756,395.9238414917615,105489.07255134238,0.0,2,0.0,0.04,0
93,93,BUY,0.006,1.120925,1.121875,2.550685692075349,242.3151407471598,105731.38769208954,0.0,2,0.0,0.04,0
94,94,BUY,0.006,1.121425,1.121875,2.543366714230457,114.4515021403862,105845.83919422993,0.0,2,0.0,0.04,0
95,95,BUY,0.006,1.1219249999999998,1.121875,2.546119843147881,-12.730599215709734,105833.10859501423,0.0,2,0.0,0.04,0
